[0629/150318.095:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/150318.152:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/150917.717:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/150917.860:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/153157.218:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/153157.276:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/154311.714:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/154311.810:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/155425.565:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/155425.749:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/163021.107:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/163021.216:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/164314.537:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/164314.644:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/171631.952:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/171632.037:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/192314.444:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/192314.690:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/193756.206:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/193756.343:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/194846.599:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/194846.883:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/195750.209:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/195750.308:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/205257.117:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/205257.300:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/102446.555:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/102446.624:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/105756.234:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/105756.275:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/112515.955:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/112516.097:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/112913.758:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/112913.840:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113104.634:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113104.725:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113430.675:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113430.736:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113913.728:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/113913.797:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114232.267:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114232.339:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114534.419:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114534.482:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114655.471:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/114655.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/132809.474:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/132809.539:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/140141.447:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/140141.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/145340.464:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/145340.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/150714.842:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/150714.955:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
